Ann?e;Entreprise;Section;Indicateur;Valeur
2023;AXA;bilan_actifs;Immobilisations incorporelles;0
2023;AXA;bilan_actifs;Actifs d?imp?ts diff?r?s;79277
2023;AXA;bilan_actifs;Exc?dent du r?gime de retraite;0
2023;AXA;bilan_actifs;Immobilisations corporelles d?tenues pour usage propre ;47218
2023;AXA;bilan_actifs;Investissements (autres qu?actifs en repr?sentation de contrats en unit?s de compte et index?s) ;102267730
2023;AXA;bilan_actifs;Biens immobiliers (autres que d?tenus pour usage propre) ;82596
2023;AXA;bilan_actifs;D?tentions dans des entreprises li?es, y compris participations ;798278
2023;AXA;bilan_actifs;Actions ;1000490
2023;AXA;bilan_actifs;Actions - cot?es ;941799
2023;AXA;bilan_actifs;Actions - non cot?es ;58691
2023;AXA;bilan_actifs;Obligations ;57756230
2023;AXA;bilan_actifs;Obligations d?êtat ;42701708
2023;AXA;bilan_actifs;Obligations d?entreprise ;13163179
2023;AXA;bilan_actifs;Titres structur?s ;1222928
2023;AXA;bilan_actifs;Titres garantis ;668416
2023;AXA;bilan_actifs;Organismes de placement collectif ;41900527
2023;AXA;bilan_actifs;Produits d?riv?s ;729608
2023;AXA;bilan_actifs;D?p?ts autres que les ?quivalents de tr?sorerie ;0
2023;AXA;bilan_actifs;Autres investissements;0
2023;AXA;bilan_actifs;Actifs en repr?sentation de contrats en unit?s de compte et index?s ;41108074
2023;AXA;bilan_actifs;Pr?ts et pr?ts hypoth?caires ;11439525
2023;AXA;bilan_actifs;Avances sur polices;340326
2023;AXA;bilan_actifs;Pr?ts et pr?ts hypoth?caires aux particuliers;0
2023;AXA;bilan_actifs;Autres pr?ts et pr?ts hypoth?caires ;11099199
2023;AXA;bilan_actifs;Montants recouvrables au titre des contrats de r?assurance ;17412105
2023;AXA;bilan_actifs;Non-vie et sant? similaire ? la non-vie ;2562810
2023;AXA;bilan_actifs;Non-vie hors sant?;0
2023;AXA;bilan_actifs;Sant? similaire ? la non-vie ;2562810
2023;AXA;bilan_actifs;Vie et sant? similaire ? la vie, hors sant?, UC et index?s ;12721028
2023;AXA;bilan_actifs;Sant? similaire ? la vie ;599472
2023;AXA;bilan_actifs;Vie hors sant?, UC et index?s ;12121556
2023;AXA;bilan_actifs;Vie UC et index?s ;2128267
2023;AXA;bilan_actifs;D?p?ts aupr?s des c?dantes ;899771
2023;AXA;bilan_actifs;Cr?ances n?es d?op?rations d?assurance et montants ? recevoir d?interm?diaires ;6956805
2023;AXA;bilan_actifs;Cr?ances n?es d'op?rations de r?assurance;185094
2023;AXA;bilan_actifs;Autres cr?ances (hors assurance) ;1844081
2023;AXA;bilan_actifs;Actions propres auto-d?tenues (directement) ;0
2023;AXA;bilan_actifs;êl?ments de fonds propres ou fonds initial appel?(s), mais non encore pay?(s);0
2023;AXA;bilan_actifs;Tr?sorerie et ?quivalent tr?sorerie;3013406
2023;AXA;bilan_actifs;Autres actifs non mentionn?s dans les postes ci-dessus ;195
2023;AXA;bilan_actifs;Total de l?actif ;185252891
2023;AXA;bilan_actifs;Check Total Actif;0
2023;CARDIF;bilan_actifs;Goodwill;0
2023;CARDIF;bilan_actifs;Frais d?acquisition diff?r?s;0
2023;CARDIF;bilan_actifs;Immobilisations incorporelles;0
2023;CARDIF;bilan_actifs;Actifs d?imp?ts diff?r?s;420
2023;CARDIF;bilan_actifs;Exc?dent du r?gime de retraite;0
2023;CARDIF;bilan_actifs;Immobilisations corporelles d?tenues pour usage propre ;2200
2023;CARDIF;bilan_actifs;Investissements (autres qu?actifs en repr?sentation de contrats en unit?s de compte et index?s) ;116583708
2023;CARDIF;bilan_actifs;Biens immobiliers (autres que d?tenus pour usage propre) ;421315
2023;CARDIF;bilan_actifs;D?tentions dans des entreprises li?es, y compris participations ;1255560
2023;CARDIF;bilan_actifs;Actions ;3178387
2023;CARDIF;bilan_actifs;Actions - cot?es ;3178227
2023;CARDIF;bilan_actifs;Actions - non cot?es ;160
2023;CARDIF;bilan_actifs;Obligations ;70630815
2023;CARDIF;bilan_actifs;Obligations d?êtat ;30428191
2023;CARDIF;bilan_actifs;Obligations d?entreprise ;33851448
2023;CARDIF;bilan_actifs;Titres structur?s ;6351176
2023;CARDIF;bilan_actifs;Titres garantis ;0
2023;CARDIF;bilan_actifs;Organismes de placement collectif ;39221469
2023;CARDIF;bilan_actifs;Produits d?riv?s ;1539141
2023;CARDIF;bilan_actifs;D?p?ts autres que les ?quivalents de tr?sorerie ;337021
2023;CARDIF;bilan_actifs;Autres investissements;0
2023;CARDIF;bilan_actifs;Actifs en repr?sentation de contrats en unit?s de compte et index?s ;54859586
2023;CARDIF;bilan_actifs;Pr?ts et pr?ts hypoth?caires ;790098
2023;CARDIF;bilan_actifs;Avances sur polices;714998
2023;CARDIF;bilan_actifs;Pr?ts et pr?ts hypoth?caires aux particuliers;75100
2023;CARDIF;bilan_actifs;Autres pr?ts et pr?ts hypoth?caires ;0
2023;CARDIF;bilan_actifs;Montants recouvrables au titre des contrats de r?assurance ;1596934
2023;CARDIF;bilan_actifs;Non-vie et sant? similaire ? la non-vie ;57668
2023;CARDIF;bilan_actifs;Non-vie hors sant?;0
2023;CARDIF;bilan_actifs;Sant? similaire ? la non-vie ;57668
2023;CARDIF;bilan_actifs;Vie et sant? similaire ? la vie, hors sant?, UC et index?s ;1088092
2023;CARDIF;bilan_actifs;Sant? similaire ? la vie ;23618
2023;CARDIF;bilan_actifs;Vie hors sant?, UC et index?s ;1064474
2023;CARDIF;bilan_actifs;Vie UC et index?s ;451174
2023;CARDIF;bilan_actifs;D?p?ts aupr?s des c?dantes ;182000
2023;CARDIF;bilan_actifs;Cr?ances n?es d?op?rations d?assurance et montants ? recevoir d?interm?diaires ;509708
2023;CARDIF;bilan_actifs;Cr?ances n?es d'op?rations de r?assurance;47394
2023;CARDIF;bilan_actifs;Autres cr?ances (hors assurance) ;1172752
2023;CARDIF;bilan_actifs;Actions propres auto-d?tenues (directement) ;0
2023;CARDIF;bilan_actifs;êl?ments de fonds propres ou fonds initial appel?(s), mais non encore pay?(s);0
2023;CARDIF;bilan_actifs;Tr?sorerie et ?quivalent tr?sorerie;355708
2023;CARDIF;bilan_actifs;Autres actifs non mentionn?s dans les postes ci-dessus ;1210444
2023;CARDIF;bilan_actifs;Total de l?actif ;177310952
2023;CARDIF;bilan_actifs;Check Total Actif;1
2023;MMA;bilan_actifs;Immobilisations incorporelles;0
2023;MMA;bilan_actifs;Actifs d?imp?ts diff?r?s;0
2023;MMA;bilan_actifs;Exc?dent du r?gime de retraite;0
2023;MMA;bilan_actifs;Immobilisations corporelles d?tenues pour usage propre ;156
2023;MMA;bilan_actifs;Investissements (autres qu?actifs en repr?sentation de contrats en unit?s de compte et index?s) ;17981777
2023;MMA;bilan_actifs;Biens immobiliers (autres que d?tenus pour usage propre) ;347230
2023;MMA;bilan_actifs;D?tentions dans des entreprises li?es, y compris participations ;447536
2023;MMA;bilan_actifs;Actions ;882297
2023;MMA;bilan_actifs;Actions - cot?es ;824491
2023;MMA;bilan_actifs;Actions - non cot?es ;57806
2023;MMA;bilan_actifs;Obligations ;13566866
2023;MMA;bilan_actifs;Obligations d?êtat ;10597089
2023;MMA;bilan_actifs;Obligations d?entreprise ;2681242
2023;MMA;bilan_actifs;Titres structur?s ;234985
2023;MMA;bilan_actifs;Titres garantis ;53550
2023;MMA;bilan_actifs;Organismes de placement collectif ;2737848
2023;MMA;bilan_actifs;D?p?ts autres que les ?quivalents de tr?sorerie ;0
2023;MMA;bilan_actifs;Autres investissements;0
2023;MMA;bilan_actifs;Actifs en repr?sentation de contrats en unit?s de compte et index?s ;4411016
2023;MMA;bilan_actifs;Pr?ts et pr?ts hypoth?caires ;2011484
2023;MMA;bilan_actifs;Avances sur polices;0
2023;MMA;bilan_actifs;Pr?ts et pr?ts hypoth?caires aux particuliers;102758
2023;MMA;bilan_actifs;Autres pr?ts et pr?ts hypoth?caires ;1908725
2023;MMA;bilan_actifs;Montants recouvrables au titre des contrats de r?assurance ;0
2023;MMA;bilan_actifs;Non-vie et sant? similaire ? la non-vie ;0
2023;MMA;bilan_actifs;Non-vie hors sant?;0
2023;MMA;bilan_actifs;Sant? similaire ? la non-vie ;0
2023;MMA;bilan_actifs;Vie et sant? similaire ? la vie, hors sant?, UC et index?s ;0
2023;MMA;bilan_actifs;Sant? similaire ? la vie ;0
2023;MMA;bilan_actifs;Vie hors sant?, UC et index?s ;0
2023;MMA;bilan_actifs;Vie UC et index?s ;0
2023;MMA;bilan_actifs;D?p?ts aupr?s des c?dantes ;0
2023;MMA;bilan_actifs;Cr?ances n?es d?op?rations d?assurance et montants ? recevoir d?interm?diaires ;18351
2023;MMA;bilan_actifs;Cr?ances n?es d'op?rations de r?assurance;3739
2023;MMA;bilan_actifs;Autres cr?ances (hors assurance) ;128674
2023;MMA;bilan_actifs;Actions propres auto-d?tenues (directement) ;0
2023;MMA;bilan_actifs;êl?ments de fonds propres ou fonds initial appel?(s), mais non encore pay?(s);0
2023;MMA;bilan_actifs;Tr?sorerie et ?quivalent tr?sorerie;137812
2023;MMA;bilan_actifs;Autres actifs non mentionn?s dans les postes ci-dessus ;7868
2023;MMA;bilan_actifs;Total de l?actif ;24700877
2023;MMA;bilan_actifs;Check Total Actif;1
2023;MAAF;bilan_actifs;Immobilisations incorporelles;0
2023;MAAF;bilan_actifs;Actifs d?imp?ts diff?r?s;0
2023;MAAF;bilan_actifs;Exc?dent du r?gime de retraite;0
2023;MAAF;bilan_actifs;Immobilisations corporelles d?tenues pour usage propre ;0
2023;MAAF;bilan_actifs;Investissements (autres qu?actifs en repr?sentation de contrats en unit?s de compte et index?s) ;10332329
2023;MAAF;bilan_actifs;Biens immobiliers (autres que d?tenus pour usage propre) ;110700
2023;MAAF;bilan_actifs;D?tentions dans des entreprises li?es, y compris participations ;268309
2023;MAAF;bilan_actifs;Actions ;390677
2023;MAAF;bilan_actifs;Actions - cot?es ;381845
2023;MAAF;bilan_actifs;Actions - non cot?es ;8832
2023;MAAF;bilan_actifs;Obligations ;7959925
2023;MAAF;bilan_actifs;Obligations d?êtat ;6169086
2023;MAAF;bilan_actifs;Obligations d?entreprise ;1628696
2023;MAAF;bilan_actifs;Titres structur?s ;132882
2023;MAAF;bilan_actifs;Titres garantis ;29262
2023;MAAF;bilan_actifs;Organismes de placement collectif ;1602718
2023;MAAF;bilan_actifs;D?p?ts autres que les ?quivalents de tr?sorerie ;0
2023;MAAF;bilan_actifs;Autres investissements;0
2023;MAAF;bilan_actifs;Actifs en repr?sentation de contrats en unit?s de compte et index?s ;1547003
2023;MAAF;bilan_actifs;Pr?ts et pr?ts hypoth?caires ;1093628
2023;MAAF;bilan_actifs;Avances sur polices;0
2023;MAAF;bilan_actifs;Pr?ts et pr?ts hypoth?caires aux particuliers;35519
2023;MAAF;bilan_actifs;Autres pr?ts et pr?ts hypoth?caires ;1058109
2023;MAAF;bilan_actifs;Montants recouvrables au titre des contrats de r?assurance ;0
2023;MAAF;bilan_actifs;Non-vie et sant? similaire ? la non-vie ;0
2023;MAAF;bilan_actifs;Non-vie hors sant?;0
2023;MAAF;bilan_actifs;Sant? similaire ? la non-vie ;0
2023;MAAF;bilan_actifs;Vie et sant? similaire ? la vie, hors sant?, UC et index?s ;0
2023;MAAF;bilan_actifs;Sant? similaire ? la vie ;0
2023;MAAF;bilan_actifs;Vie hors sant?, UC et index?s ;0
2023;MAAF;bilan_actifs;Vie UC et index?s ;0
2023;MAAF;bilan_actifs;D?p?ts aupr?s des c?dantes ;0
2023;MAAF;bilan_actifs;Cr?ances n?es d?op?rations d?assurance et montants ? recevoir d?interm?diaires ;130
2023;MAAF;bilan_actifs;Cr?ances n?es d'op?rations de r?assurance;211
2023;MAAF;bilan_actifs;Autres cr?ances (hors assurance) ;39485
2023;MAAF;bilan_actifs;Actions propres auto-d?tenues (directement) ;0
2023;MAAF;bilan_actifs;êl?ments de fonds propres ou fonds initial appel?(s), mais non encore pay?(s);0
2023;MAAF;bilan_actifs;Tr?sorerie et ?quivalent tr?sorerie;213054
2023;MAAF;bilan_actifs;Autres actifs non mentionn?s dans les postes ci-dessus ;1146
2023;MAAF;bilan_actifs;Total de l?actif ;13226986
2023;MAAF;bilan_actifs;Check Total Actif;1
2023;GMF;bilan_actifs;Immobilisations incorporelles;0
2023;GMF;bilan_actifs;Actifs d?imp?ts diff?r?s;0
2023;GMF;bilan_actifs;Exc?dent du r?gime de retraite;0
2023;GMF;bilan_actifs;Immobilisations corporelles d?tenues pour usage propre ;18700
2023;GMF;bilan_actifs;Investissements (autres qu?actifs en repr?sentation de contrats en unit?s de compte et index?s) ;21554851
